2026-02-14 00:53:16.920842 | parking/co2 | 0
2026-02-14 00:53:17.971566 | parking/spot1/status | FREE
2026-02-14 00:53:17.984518 | parking/spot1/type | NONE
2026-02-14 00:53:17.985357 | parking/co2 | 213
2026-02-14 00:53:19.030741 | parking/spot1/status | FREE
2026-02-14 00:53:19.053914 | parking/spot1/type | NONE
2026-02-14 00:53:19.054766 | parking/co2 | 0
2026-02-14 00:53:20.084121 | parking/spot1/status | FREE
2026-02-14 00:53:20.090960 | parking/spot1/type | NONE
2026-02-14 00:53:20.091810 | parking/co2 | 214
2026-02-14 00:53:21.148526 | parking/spot1/status | FREE
2026-02-14 00:53:21.157896 | parking/spot1/type | NONE
2026-02-14 00:53:21.158833 | parking/co2 | 80
2026-02-14 00:53:22.205711 | parking/spot1/status | FREE
2026-02-14 00:53:22.213219 | parking/spot1/type | NONE
2026-02-14 00:53:22.214098 | parking/co2 | 29
2026-02-14 00:53:23.255757 | parking/spot1/status | FREE
2026-02-14 00:53:23.261825 | parking/spot1/type | NONE
2026-02-14 00:53:23.262674 | parking/co2 | 0
2026-02-14 00:53:24.312837 | parking/spot1/status | FREE
2026-02-14 00:53:24.319336 | parking/spot1/type | NONE
2026-02-14 00:53:24.320219 | parking/co2 | 234
2026-02-14 00:53:25.369712 | parking/spot1/status | FREE
2026-02-14 00:53:25.375004 | parking/spot1/type | NONE
2026-02-14 00:53:25.375862 | parking/co2 | 216
2026-02-14 00:53:26.432055 | parking/spot1/status | FREE
2026-02-14 00:53:26.442199 | parking/spot1/type | NONE
2026-02-14 00:53:26.443034 | parking/co2 | 0
2026-02-14 00:53:27.480748 | parking/spot1/status | FREE
2026-02-14 00:53:27.488046 | parking/spot1/type | NONE
2026-02-14 00:53:27.488958 | parking/co2 | 149
2026-02-14 00:53:28.540715 | parking/spot1/status | FREE
2026-02-14 00:53:28.547687 | parking/spot1/type | NONE
2026-02-14 00:53:28.548482 | parking/co2 | 224
2026-02-14 00:53:29.603003 | parking/spot1/status | FREE
2026-02-14 00:53:29.609604 | parking/spot1/type | NONE
2026-02-14 00:53:29.610477 | parking/co2 | 0
2026-02-14 00:53:30.651672 | parking/spot1/status | FREE
2026-02-14 00:53:30.657492 | parking/spot1/type | NONE
2026-02-14 00:53:30.658279 | parking/co2 | 0
2026-02-14 00:53:31.718354 | parking/spot1/status | FREE
2026-02-14 00:53:31.799619 | parking/spot1/type | NONE
2026-02-14 00:53:31.800503 | parking/co2 | 279
2026-02-14 00:53:32.770382 | parking/spot1/status | FREE
2026-02-14 00:53:32.780620 | parking/spot1/type | NONE
2026-02-14 00:53:32.781471 | parking/co2 | 243
2026-02-14 00:53:33.829092 | parking/spot1/status | FREE
2026-02-14 00:53:33.896408 | parking/spot1/type | NONE
2026-02-14 00:53:33.897266 | parking/co2 | 270
