[2026-02-13 19:39:36.444415] Spot Status: FREE
[2026-02-13 19:39:38.515515] Spot Status: FREE
[2026-02-13 19:39:40.501308] Spot Status: OCCUPIED
[2026-02-13 19:39:42.530601] Spot Status: OCCUPIED
[2026-02-13 19:39:44.525151] Spot Status: OCCUPIED
[2026-02-13 19:39:46.580498] Spot Status: FREE
[2026-02-13 19:39:48.698976] Spot Status: FREE
[2026-02-13 19:39:50.726597] Spot Status: FREE
[2026-02-13 19:39:52.801658] Spot Status: FREE
[2026-02-13 19:39:54.873456] Spot Status: FREE
[2026-02-13 19:39:56.945794] Spot Status: FREE
[2026-02-13 19:39:59.022122] Spot Status: FREE
[2026-02-13 19:40:01.092914] Spot Status: FREE
[2026-02-13 19:40:03.166120] Spot Status: FREE
[2026-02-13 19:40:05.240076] Spot Status: FREE
[2026-02-13 19:40:07.312038] Spot Status: FREE
[2026-02-13 19:40:09.385142] Spot Status: FREE
[2026-02-13 19:40:11.470338] Spot Status: FREE
[2026-02-13 19:40:13.531265] Spot Status: FREE
[2026-02-13 19:40:15.604780] Spot Status: FREE
[2026-02-13 19:40:17.678382] Spot Status: FREE
[2026-02-13 19:40:19.753852] Spot Status: FREE
[2026-02-13 19:40:21.824216] Spot Status: FREE
[2026-02-13 19:40:23.914740] Spot Status: FREE
[2026-02-13 19:40:25.970438] Spot Status: FREE
[2026-02-13 19:40:28.082720] Spot Status: FREE
[2026-02-13 19:40:30.117484] Spot Status: FREE
[2026-02-13 19:40:32.189533] Spot Status: FREE
[2026-02-13 19:40:34.484962] Spot Status: FREE
[2026-02-13 19:40:36.336817] Spot Status: FREE
[2026-02-13 19:40:38.409521] Spot Status: FREE
2026-02-14 01:08:06.861795 | parking/co2 | 56
2026-02-14 01:08:07.897522 | parking/spot1/status | FREE
2026-02-14 01:08:07.906132 | parking/spot1/type | NONE
2026-02-14 01:08:07.907004 | parking/co2 | 69
2026-02-14 01:08:08.951518 | parking/spot1/status | FREE
2026-02-14 01:08:08.958340 | parking/spot1/type | NONE
2026-02-14 01:08:08.959300 | parking/co2 | 161
2026-02-14 01:08:10.008944 | parking/spot1/status | FREE
2026-02-14 01:08:10.016139 | parking/spot1/type | NONE
2026-02-14 01:08:10.016984 | parking/co2 | 0
2026-02-14 01:08:11.062277 | parking/spot1/status | FREE
2026-02-14 01:08:11.072080 | parking/spot1/type | NONE
2026-02-14 01:08:11.072943 | parking/co2 | 5
2026-02-14 01:08:12.122632 | parking/spot1/status | FREE
2026-02-14 01:08:12.129857 | parking/spot1/type | NONE
2026-02-14 01:08:12.130725 | parking/co2 | 0
2026-02-14 01:08:13.179692 | parking/spot1/status | FREE
2026-02-14 01:08:13.187572 | parking/spot1/type | NONE
2026-02-14 01:08:13.188448 | parking/co2 | 3
2026-02-14 01:08:14.240310 | parking/spot1/status | FREE
2026-02-14 01:08:14.255093 | parking/spot1/type | NONE
2026-02-14 01:08:14.256409 | parking/co2 | 114
2026-02-14 01:08:15.293866 | parking/spot1/status | FREE
2026-02-14 01:08:15.303271 | parking/spot1/type | NONE
2026-02-14 01:08:15.304144 | parking/co2 | 84
2026-02-14 01:08:16.354172 | parking/spot1/status | FREE
2026-02-14 01:08:16.373565 | parking/spot1/type | NONE
2026-02-14 01:08:16.374444 | parking/co2 | 122
2026-02-14 01:08:17.411464 | parking/spot1/status | FREE
2026-02-14 01:08:17.422304 | parking/spot1/type | NONE
2026-02-14 01:08:17.423188 | parking/co2 | 0
2026-02-14 01:08:18.464736 | parking/spot1/status | FREE
2026-02-14 01:08:18.480374 | parking/spot1/type | NONE
2026-02-14 01:08:18.481257 | parking/co2 | 111
2026-02-14 01:08:19.562987 | parking/spot1/status | FREE
2026-02-14 01:08:19.563852 | parking/spot1/type | NONE
2026-02-14 01:08:19.564504 | parking/co2 | 0
2026-02-14 01:08:20.579317 | parking/spot1/status | FREE
2026-02-14 01:08:20.590288 | parking/spot1/type | NONE
2026-02-14 01:08:20.591149 | parking/co2 | 0
2026-02-14 01:08:21.637594 | parking/spot1/status | FREE
2026-02-14 01:08:21.645907 | parking/spot1/type | NONE
2026-02-14 01:08:21.646764 | parking/co2 | 128
2026-02-14 01:08:22.694638 | parking/spot1/status | FREE
2026-02-14 01:08:22.704469 | parking/spot1/type | NONE
2026-02-14 01:08:22.705334 | parking/co2 | 0
2026-02-14 01:08:23.751725 | parking/spot1/status | FREE
2026-02-14 01:08:23.761654 | parking/spot1/type | NONE
2026-02-14 01:08:23.762544 | parking/co2 | 125
2026-02-14 01:08:24.808650 | parking/spot1/status | FREE
2026-02-14 01:08:24.817825 | parking/spot1/type | NONE
2026-02-14 01:08:24.818784 | parking/co2 | 40
2026-02-14 01:08:25.865488 | parking/spot1/status | FREE
2026-02-14 01:08:25.872699 | parking/spot1/type | NONE
2026-02-14 01:08:25.873529 | parking/co2 | 160
2026-02-14 01:08:26.922611 | parking/spot1/status | FREE
2026-02-14 01:08:26.939324 | parking/spot1/type | NONE
2026-02-14 01:08:26.940173 | parking/co2 | 0
2026-02-14 01:08:27.978751 | parking/spot1/status | FREE
2026-02-14 01:08:27.984783 | parking/spot1/type | NONE
2026-02-14 01:08:27.985998 | parking/co2 | 53
2026-02-14 01:08:29.038388 | parking/spot1/status | FREE
2026-02-14 01:08:29.045798 | parking/spot1/type | NONE
2026-02-14 01:08:29.046596 | parking/co2 | 139
2026-02-14 01:08:30.093439 | parking/spot1/status | FREE
2026-02-14 01:08:30.102610 | parking/spot1/type | NONE
2026-02-14 01:08:30.103449 | parking/co2 | 0
2026-02-14 01:08:31.150446 | parking/spot1/status | FREE
2026-02-14 01:08:31.154577 | parking/spot1/type | NONE
2026-02-14 01:08:31.155371 | parking/co2 | 0
2026-02-14 01:08:32.214225 | parking/spot1/status | FREE
2026-02-14 01:08:32.227189 | parking/spot1/type | NONE
2026-02-14 01:08:32.228039 | parking/co2 | 125
2026-02-14 01:08:33.264527 | parking/spot1/status | FREE
2026-02-14 01:08:33.269976 | parking/spot1/type | NONE
